order_id,order_date,product_name,quantity,price,refund_status,cogs,customer_name,customer_email,shipping_address,Shipping Cost (Rs),Taxes (Rs),,Gross Revenue
1,7/20/2021,Mrs,20,537.39,processed,145.59,Alexina Ragsdall,aragsdall0@qq.com,4 Forster Avenue,250,30,,10747.8
2,11/18/2021,Rev,88,138.93,refunded,332.11,Park Ostridge,postridge1@springer.com,6479 Eliot Court,250,31,,12225.84
3,6/23/2021,Mrs,49,655.1,refunded,446.97,Neill Airds,nairds2@acquirethisname.com,62 Thackeray Pass,250,32,,32099.9
4,3/14/2020,Mrs,53,560.35,processed,360.18,Kaitlin Curedell,kcuredell3@usatoday.com,6698 Nova Crossing,250,33,,29698.55
5,4/8/2021,Ms,40,480.07,pending,302.34,Jeannie Yeskov,jyeskov4@t-online.de,3 Anzinger Way,250,34,,19202.8
6,1/19/2021,Honorable,35,180.09,processed,13.43,Neale Preble,npreble5@phpbb.com,1 John Wall Terrace,250,35,,6303.15
7,7/16/2021,Dr,80,884.7,processed,22.75,Fannie Couve,fcouve6@facebook.com,7 Buena Vista Avenue,250,36,,70776
8,10/8/2021,Rev,46,202.58,processed,295.9,Putnam Stearndale,pstearndale7@imdb.com,2338 Butterfield Center,250,37,,9318.68
9,12/14/2021,Ms,12,848.3,processed,358.08,Gilli Longmire,glongmire8@google.nl,3342 Bultman Road,250,38,,10179.6
10,7/23/2020,Honorable,43,40.59,refunded,176.07,Hersch Bilston,hbilston9@soup.io,2442 Hollow Ridge Hill,250,39,,1745.37
11,8/13/2021,Ms,38,934.13,processed,322,Gaspard Da Costa,gdaa@amazonaws.com,236 Valley Edge Park,250,40,,35496.94
12,6/12/2020,Rev,72,188.49,pending,402.62,Karissa Hawken,khawkenb@utexas.edu,239 Magdeline Park,250,41,,13571.28
13,6/17/2020,Honorable,19,629.67,processed,6.13,Rockie Sterte,rstertec@github.io,61 Morning Hill,250,42,,11963.73
14,7/5/2020,Mrs,38,513.02,processed,317.48,Berthe Vaughton,bvaughtond@nasa.gov,8647 Westport Circle,250,43,,19494.76
15,5/26/2021,Mrs,23,451.3,processed,56.2,Jorrie Tolchard,jtolcharde@icio.us,1459 Haas Court,250,44,,10379.9
